Status,Vessel type,Hull No.,Type,Dwt,GT,Size,Unit,CGT,Built,Builder,Yard Status,Contract Date,Owner,Owner Group,NB Price,Currency
On Order,Handy ,S452,Chem & Oil,"35,000",,"35,000",DWT,"20,132",2019-02,Shin Kurushima,Established <2000,2015-Aug-01,Unknown,Unknown,,
On Order,Handy ,8219,Chem & Oil,"35,000",,"35,000",DWT,"20,132",2020-05,Shin Kurushima,Established <2000,2015-Aug-01,Unknown,Unknown,,
On Order,MR ,8225,Products,"51,500",,"51,500",DWT,"17,498",2019-04,Shin Kurushima,Established <2000,2015-Aug-01,Unknown,Unknown,,
On Order,MR ,2614,Products,"51,500",,"51,500",DWT,"17,498",2020-01,Shin Kurushima,Established <2000,2015-Aug-01,Unknown,Unknown,,
On Order,MR ,S447,Products,"49,700",,"49,700",DWT,"17,147",2019-04,Onomichi Dockyd,Established <2000,2015-Jun-01,Unknown Japanese,Unknown Japanese,,
On Order,MR ,S449,Products,"49,700",,"49,700",DWT,"17,147",2020-08,Onomichi Dockyd,Established <2000,2015-Jun-01,Unknown Japanese,Unknown Japanese,,
On Order,MR ,S451,Products,"49,700",,"49,700",DWT,"17,147",2019-10,Onomichi Dockyd,Established <2000,2015-Jun-01,Unknown Japanese,Unknown Japanese,,
On Order,MR ,8224,Products,"49,700",,"49,700",DWT,"17,147",2019-11,Onomichi Dockyd,Established <2000,2015-Jun-01,Unknown Japanese,Unknown Japanese,,
On Order,MR ,8226,Products,"49,700",,"49,700",DWT,"17,147",2018-11,Onomichi Dockyd,Established <2000,2015-Jun-01,Eastern Pacific Shpg,Eastern Pacific Shpg,,
On Order,MR ,2613,Chem & Oil,"49,700",,"49,700",DWT,"24,415",2020-06,Onomichi Dockyd,Established <2000,2015-Jun-01,Unknown Japanese,Unknown Japanese,,
On Order,MR ,H2650,Products,"49,700",,"49,700",DWT,"17,147",2018-08,Onomichi Dockyd,Established <2000,2015-Jun-01,Shenlong Maritime,Shenlong Maritime,,
On Order,MR ,2648,Products,"49,700",,"49,700",DWT,"17,147",2018-09,Onomichi Dockyd,Established <2000,2015-Jun-01,Shenlong Maritime,Shenlong Maritime,,
On Order,Handy ,N/A,Chem & Oil,"35,000",,"35,000",DWT,"20,132",2019-01,Shin Kurushima,Established <2000,2015-Jun-01,Unknown,Unknown,,
On Order,MR ,N/A,Products,"49,700",,"49,700",DWT,"17,147",2020-09,Onomichi Dockyd,Established <2000,2015-Jun-01,Unknown Japanese,Unknown Japanese,,
On Order,MR ,17121003,Products,"49,700",,"49,700",DWT,"17,147",2019-04,Onomichi Dockyd,Established <2000,2015-Jun-01,Eastern Pacific Shpg,Eastern Pacific Shpg,,
On Order,MR ,17121001,Chem & Oil,"49,700",,"49,700",DWT,"24,415",2020-04,Onomichi Dockyd,Established <2000,2015-Jun-01,Unknown Japanese,Unknown Japanese,,
On Order,MR ,17121002,Products,"49,700",,"49,700",DWT,"17,147",2019-01,Onomichi Dockyd,Established <2000,2015-Jun-01,Shenlong Maritime,Shenlong Maritime,,
On Order,MR ,2610,Products,"49,700",,"49,700",DWT,"17,147",2019-02,Onomichi Dockyd,Established <2000,2015-May-01,Unknown Japanese,Unknown Japanese,,
On Order,Handy ,S445,Chem & Oil,"38,500",,"38,500",DWT,"21,215",2018-08,Kitanihon Zosen,Established <2000,2015-Apr-15,Doun Kisen,Doun Kisen,,
On Order,Handy ,N/A,Chem & Oil,"38,500",,"38,500",DWT,"21,215",2018-11,Kitanihon Zosen,Established <2000,2015-Apr-15,Doun Kisen,Doun Kisen,,
On Order,Handy ,N/A,Chem & Oil,"25,000","15,800","25,000",DWT,"17,121",2018-09,Fukuoka (Nagasaki),Established 2000-10,2015-Jan-01,Fairfield Chemical,Fairfield-Maxwell,,
On Order,Handy ,HT-CT38-009,Chem & Oil,"25,000","15,800","25,000",DWT,"17,121",2019-01,Fukuoka (Nagasaki),Established 2000-10,2015-Jan-01,Fairfield Chemical,Fairfield-Maxwell,,
On Order,Handy ,HT-CT38-010,Chem & Oil,"25,000","15,800","25,000",DWT,"17,121",2019-04,Fukuoka (Nagasaki),Established 2000-10,2015-Jan-01,Fairfield Chemical,Fairfield-Maxwell,,
On Order,Handy ,N/A,Chem & Oil,"25,000","15,800","25,000",DWT,"17,121",2019-07,Fukuoka (Nagasaki),Established 2000-10,2015-Jan-01,Fairfield Chemical,Fairfield-Maxwell,,
On Order,Handy ,N/A,Chem & Oil,"34,500","23,000","34,500",DWT,"21,048",2019-02,Taizhou Sanfu,Established <2000,2014-Aug-01,Nova Shpg & Log,Nova Shpg & Log,,
On Order,Handy ,N/A,Chem & Oil,"34,500","23,000","34,500",DWT,"21,048",2018-12,Taizhou Sanfu,Established <2000,2014-Aug-01,Nova Shpg & Log,Nova Shpg & Log,,
On Order,Handy ,N/A,Chem & Oil,"34,500","23,000","34,500",DWT,"21,048",2018-08,Taizhou Sanfu,Established <2000,2014-Jul-10,Nova Shpg & Log,Nova Shpg & Log,30.00,$m
