tonnageId,EmploymentStatus,Owners,OpenPort,Operators,CargoType,Comment,ETABasis,OpenDate,ReportType,ReportTimestamp,RepositionRegion,Source,VesselName,Built,DWT,Cubics,LOA,ICE,SternLine,VesselType
5982,,Mitsui O.S.K. Lines,,straits tankers,CPP,unc.,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,LILAC VICTORIA,2011,74998,84278,228,No,,
6095,,SK Holdings,,sk shipping,DPP,,30.01.20,10-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,PRO TRIUMPH,2009,105348,118119,245,No,,
6007,,Tsakos Group,,tsakos,CPP,Guangzhou,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SELINI,2009,74296,82581,228,No,,
6017,,Ocean Tankers,,xihe holdings,CPP,Rsea opts,30.01.20,15-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,DONG TING HU,2007,74032,72276,228,Yes,,
6079,,Reederei Nord,,heidmar,DPP,ex east,30.01.20,18-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,NORDMARLIN,2017,113959,123854,250,No,,
5979,,Grace Management,,straits tankers,CPP,ex east / subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,EVRIDIKI,2008,73711,178370,273,No,,
5985,,,,shell,CPP,if cancelled,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,PACIFIC MARTINA,2018,73496,86067,219,No,,
5995,,United Arab Shipping,,straits tankers,CPP,,30.01.20,12-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,UACC IBN AL HAITHAM,2009,73338,84113,228,No,,
6031,,Ocean Tankers,,xihe holdings,CPP,,30.01.20,11-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,TAI HU,2007,73980,81320,228,No,,
6045,,Tsakos Group,,tsakos,CPP,,30.01.20,17-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SUNRAY,2016,74039,81500,228,No,,
6055,,,6-feb,,,f.o.c. / subs/ idle sire,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,fos athens,2015,105000,117000,,,,
6061,,Nippon Yusen Kaisha,,nyk line,,Unc.berth.sched.,30.01.20,10-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,CHAMPION PRINCESS,2012,105258,118290,244,No,,
5972,,Kristen Marine SA,9-feb,gtp,CPP,subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,ATHIRI,2010,73982,81186,229,No,,
6115,,European Navigation,,Elka,DPP,,30.01.20,26-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,ELKA ATHINA,2005,101970,123516,244,No,,
6028,,TORM A/S,,torm,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,TORM ESTRID,2004,74999,84020,228,No,,
6069,,K. G. Jebsen (KGJS),,jebsen skipsrederi,DPP,subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,SKS DEE,2010,119456,134645,250,No,,
5955,,Hafnia Tankers,,straits tankers,CPP,f.o.c. / subs,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,HAFNIA AMERICA,2006,74996,84545,228,No,,
5969,,Dynacom Tankers Mgmt,8-feb,dynacom,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,MAISTROS,2009,73307,84142,228,No,,
6005,,great eastern,,gesco,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,JAG AANCHAL,2008,74868,83081,228,No,,
6015,,Odfjell ASA,,straits tankers,CPP,ex brazil,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,BOW PIONEER,2013,81305,84555,228,No,,
6021,,Marinvest AB,,straits tankers,CPP,,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,MARILEE,2006,74450,83959,228,Yes,,
6072,,great eastern,,Maersk,DPP,ex east,30.01.20,,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,JAG LOKESH,2009,105900,118230,244,No,,
6082,,Scorpio Group,,Scorpio,DPP,unc.,30.01.20,10-Feb,Tonnage,2019-01-30 20:00:54,MIDDLE EAST,steem1960,STI PARK,2014,109999,132726,256,No,,
